Straße;Hausnr;PLZ;Ort;Preis;Wohnfläche;Grundstücksfläche;Zimmer;Typ;Baujahr;Beschreibung;Provision;Energieausweis-Klasse;Energieverbrauch;Kontakt Name;Kontakt Telefon;Kontakt E-Mail;Exposé-Nr;Notizen;Status
Händelallee;55;86329;Augsburg;120.000,00;;1950;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;4,76% inkl. MwSt.;;;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-6944;;verfuegbar
Bachgasse;36;28286;Bremen;390.000,00;;2430;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;3,57% inkl. MwSt.;;;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-1460;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Wagnerring;117;70957;Stuttgart;365.000,00;124;;2,5;wohnung;1989;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;3,57% inkl. MwSt.;G;236;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-5608;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Eichenplatz;87;04871;Leipzig;1.150.000,00;121;950;6;haus;1976;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;Auf Anfrage;B;67;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-6329;Garagenstellplatz separat zu erwerben (15.000 €).;verkauft
Berggasse;87;01436;Dresden;445.000,00;107;;1;wohnung;1974;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;Auf Anfrage;F;172;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-1644;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verkauft
Wiesendamm;77;93894;Regensburg;520.000,00;110;;3,5;wohnung;1971;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Provisionsfrei;C;96;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-8722;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Schlosssteig;57;69524;Heidelberg;330.000,00;108;;2;wohnung;1964;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;Provisionsfrei;G;235;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-0526;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Rheinweg;118;04294;Leipzig;1.755.000,00;330;1050;;gewerbe;2016;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;3,57% inkl. MwSt.;H;341;Tobias Köhler;+49 341 21711603;tobias.koehler@immobilien-zentrale.de;IS-2024-0434;WEG-Protokolle der letzten 3 Jahre angefordert.;verkauft
Sternpfad;69a;28160;Bremen;620.000,00;255;700;8;haus;1952;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;Provisionsfrei;D;120;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-1529;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;reserviert
Dorfplatz;38;93255;Regensburg;560.000,00;91;;1,5;wohnung;2023;Penthouse mit umlaufender Dachterrasse und Panoramablick.;3,57% inkl. MwSt.;A+;13;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-2090;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Sonnensteig;13a;44127;Dortmund;1.085.000,00;120;1150;4;haus;1902;Holzhaus in ökologischer Bauweise mit Solarthermie und Regenwassernutzung.;Provisionsfrei;B;75;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-2078;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Ulmendamm;89;01858;Dresden;225.000,00;704;150;;gewerbe;1996;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;Provisionsfrei;F;174;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-7914;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Weserweg;74;90531;Nürnberg;110.000,00;84;;4,5;wohnung;1977;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Provisionsfrei;A+;26;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-0233;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Kirchpfad;56;79930;Freiburg;205.000,00;39;;3;wohnung;1964;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Auf Anfrage;B;56;Markus Schwarz;+49 89 83825881;markus.schwarz@immobilien-partner.de;IS-2024-0047;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Ahornring;46b;55862;Mainz;370.000,00;105;;1,5;wohnung;1972;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;5,95% inkl. MwSt.;C;79;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-3761;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Neckarsteig;31;48541;Münster;245.000,00;103;;2;wohnung;1955;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;Provisionsfrei;F;164;Thomas Meyer;+49 451 47180591;thomas.meyer@immobilien-profis.de;IS-2024-2561;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Mühlenallee;26;20701;Hamburg;770.000,00;219;680;8;haus;1992;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;Provisionsfrei;G;247;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-1778;;verfuegbar
Dorfallee;12;40122;Düsseldorf;660.000,00;119;;4;wohnung;1985;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;Provisionsfrei;C;93;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-7507;;verfuegbar
Hauptallee;27;93513;Regensburg;610.000,00;98;;2,5;wohnung;1955;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;2,38% inkl. MwSt.;C;85;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-4911;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Gartendamm;78;28297;Bremen;145.000,00;85;;1,5;wohnung;2018;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;Provisionsfrei;A+;29;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-8988;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Buchenallee;24a;60774;Frankfurt;290.000,00;42;;5;wohnung;2014;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Provisionsfrei;E;142;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-8858;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verfuegbar
Sonnenpfad;117a;55291;Mainz;635.000,00;;440;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;2,38% inkl. MwSt.;;;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-5009;Objekt steht seit 3 Monaten leer, sofort beziehbar.;reserviert
Turmallee;63;01701;Dresden;725.000,00;280;930;5,5;haus;2024;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;5,95% inkl. MwSt.;H;263;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-9950;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Rheingasse;71;90807;Nürnberg;950.000,00;157;370;4;haus;1942;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;3,57% inkl. MwSt.;G;203;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-5817;Garagenstellplatz separat zu erwerben (15.000 €).;reserviert
Ahornplatz;93;30338;Hannover;1.220.000,00;116;660;7,5;haus;2011;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;3,57% inkl. MwSt.;H;289;Anna Wagner;+49 511 45248045;anna.wagner@immobilien-agentur.de;IS-2024-6220;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Seesteig;4;80735;München;170.000,00;71;;3;wohnung;2017;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;Auf Anfrage;H;256;Petra Krause;+49 89 53885162;petra.krause@immobilien-service.de;IS-2024-1403;;reserviert
Mainallee;54;01760;Dresden;690.000,00;136;1090;4;haus;1942;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;5,95% inkl. MwSt.;A+;13;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-6964;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Neckardamm;49c;90161;Nürnberg;255.000,00;31;;1,5;wohnung;1976;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Auf Anfrage;G;213;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-3595;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verfuegbar
Goethestraße;69;55325;Mainz;130.000,00;98;;3,5;wohnung;1998;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;4,76% inkl. MwSt.;E;135;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-5541;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Gartengasse;89;24348;Kiel;870.000,00;104;1130;6,5;haus;1953;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;5,95% inkl. MwSt.;H;309;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-7810;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Isarring;81;48285;Münster;475.000,00;;2010;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;Provisionsfrei;;;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-0517;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Lindenplatz;29;55476;Mainz;175.000,00;;1110;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;3,57% inkl. MwSt.;;;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-0873;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Elbedamm;9;60858;Frankfurt;1.360.000,00;276;470;5;haus;1909;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;3,57% inkl. MwSt.;H;292;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-0622;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Sonnensteig;97;70766;Stuttgart;130.000,00;105;;2;wohnung;1991;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;4,76% inkl. MwSt.;C;76;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-2101;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verfuegbar
Moorallee;68;20739;Hamburg;790.000,00;;500;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;Auf Anfrage;;;Anna Wagner;+49 511 45248045;anna.wagner@immobilien-agentur.de;IS-2024-9337;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;reserviert
Schlossstraße;115;55266;Mainz;2.990.000,00;711;60;;gewerbe;2020;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;Provisionsfrei;F;180;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-6262;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Schulplatz;69;55808;Mainz;740.000,00;190;410;7,5;haus;1987;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;Provisionsfrei;B;63;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-9647;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Goethesteig;80;93612;Regensburg;440.000,00;185;570;4;haus;1916;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;3,57% inkl. MwSt.;A+;16;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-4319;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Beethovenplatz;87;55945;Mainz;500.000,00;754;1690;;gewerbe;1992;Gastronomie-Fläche mit voll ausgestatteter Küche und Außenbestuhlung.;5,95% inkl. MwSt.;C;88;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-7812;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Dorfplatz;53;24965;Kiel;465.000,00;93;;4,5;wohnung;1965;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;3,57% inkl. MwSt.;E;136;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-2381;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Hauptdamm;55;44234;Dortmund;170.000,00;112;;3,5;wohnung;1955;Penthouse mit umlaufender Dachterrasse und Panoramablick.;3,57% inkl. MwSt.;H;307;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-2156;Objekt steht seit 3 Monaten leer, sofort beziehbar.;reserviert
Kastanienallee;40a;70273;Stuttgart;115.000,00;;2470;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;Auf Anfrage;;;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-8221;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;reserviert
Rathausallee;25;45425;Essen;470.000,00;32;;3;wohnung;2004;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;2,38% inkl. MwSt.;H;346;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-0165;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Blumenallee;82;14250;Potsdam;145.000,00;85;;3,5;wohnung;1985;Penthouse mit umlaufender Dachterrasse und Panoramablick.;5,95% inkl. MwSt.;E;150;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-4310;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Rheinstraße;90;79124;Freiburg;725.000,00;;830;;grundstueck;;Grundstück mit Altbestand (Abriss geplant), zentrale Lage.;Provisionsfrei;;;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-7967;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Buchenring;100;65198;Wiesbaden;215.000,00;91;;4,5;wohnung;2007;Penthouse mit umlaufender Dachterrasse und Panoramablick.;3,57% inkl. MwSt.;A+;23;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-4588;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Neckargasse;107;89759;Ulm;640.000,00;146;980;4;haus;1943;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;3,57% inkl. MwSt.;D;115;Martin Schmidt;+49 331 28345936;martin.schmidt@immobilien-kontor.de;IS-2024-9297;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verkauft
Königweg;31b;90339;Nürnberg;310.000,00;157;;4;wohnung;2004;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;3,57% inkl. MwSt.;A;37;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-9058;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verkauft
Elbering;64;65341;Wiesbaden;680.000,00;744;500;;gewerbe;1987;Hotel-Gewerbeeinheit mit 15 Zimmern, Frühstücksraum und Rezeption.;Auf Anfrage;E;149;Monika Hartmann;+49 611 44019337;monika.hartmann@immobilien-agentur.de;IS-2024-6382;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Brunnensteig;118a;01266;Dresden;595.000,00;218;950;5,5;haus;1989;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;2,38% inkl. MwSt.;E;153;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-9945;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Bismarckweg;114;50487;Köln;660.000,00;;1110;;grundstueck;;Grundstück mit Altbestand (Abriss geplant), zentrale Lage.;Provisionsfrei;;;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-3391;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verkauft
Donauweg;105;50832;Köln;230.000,00;129;;4;wohnung;1969;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;E;149;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-0927;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Rheinring;98;69406;Heidelberg;215.000,00;;730;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;3,57% inkl. MwSt.;;;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-4842;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Sonnensteig;18;89179;Ulm;475.000,00;150;;5;wohnung;1984;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;2,38% inkl. MwSt.;C;93;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-8274;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Waldsteig;54;30913;Hannover;710.000,00;274;780;5,5;haus;1933;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;4,76% inkl. MwSt.;B;69;Petra Krause;+49 89 53885162;petra.krause@immobilien-service.de;IS-2024-1163;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Klosterdamm;3;28638;Bremen;2.575.000,00;601;530;;gewerbe;1994;Hotel-Gewerbeeinheit mit 15 Zimmern, Frühstücksraum und Rezeption.;2,38% inkl. MwSt.;E;136;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-6604;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Teichsteig;67;45788;Essen;285.000,00;;2000;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;Provisionsfrei;;;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-2494;Garagenstellplatz separat zu erwerben (15.000 €).;verkauft
Eichenring;118c;18308;Rostock;510.000,00;97;210;5;haus;1955;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;5,95% inkl. MwSt.;A+;26;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-8615;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Rathausgasse;119;80673;München;695.000,00;101;;1;wohnung;2021;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;Provisionsfrei;F;192;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-1657;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verkauft
Erlenpfad;3;60723;Frankfurt;365.000,00;;1150;;grundstueck;;Bauland in Neubaugebiet mit allen Anschlüssen, sofort bebaubar.;Provisionsfrei;;;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-5139;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Elbeplatz;107;48870;Münster;415.000,00;101;220;6;haus;1929;Architektenhaus mit offenem Wohnkonzept und bodentiefen Fenstern.;Provisionsfrei;D;102;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-1743;;verfuegbar
Sonnendamm;77;60978;Frankfurt;205.000,00;178;710;;gewerbe;1971;Ladenfläche in frequentierter Einkaufsstraße mit großer Schaufensterfront.;3,57% inkl. MwSt.;B;52;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-9942;;verfuegbar
Schillergasse;64c;76756;Karlsruhe;1.705.000,00;401;1100;;gewerbe;1970;Lager- und Logistikfläche im Gewerbegebiet, Autobahnnähe.;5,95% inkl. MwSt.;H;300;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-5916;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verkauft
Schillersteig;6;23465;Lübeck;575.000,00;109;;3,5;wohnung;1995;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;Provisionsfrei;E;158;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-4384;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Mozartweg;117;48746;Münster;680.000,00;291;340;7,5;haus;1966;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;3,57% inkl. MwSt.;B;63;Thomas Meyer;+49 451 47180591;thomas.meyer@immobilien-profis.de;IS-2024-1508;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Mühlendamm;54;69701;Heidelberg;445.000,00;;500;;grundstueck;;Baugrundstück mit genehmigter Bauvoranfrage für Doppelhaus.;Auf Anfrage;;;Sophia Fischer;+49 451 12112027;sophia.fischer@immobilien-profis.de;IS-2024-0128;;verfuegbar
Flusssteig;38;10845;Berlin;310.000,00;138;;4,5;wohnung;1996;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;3,57% inkl. MwSt.;B;52;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-5893;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Seestraße;44;44189;Dortmund;710.000,00;263;430;4;haus;1903;Holzhaus in ökologischer Bauweise mit Solarthermie und Regenwassernutzung.;Provisionsfrei;A+;12;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-1035;Grundbuch ist lastenfrei, keine Altlasten bekannt.;reserviert
Schulstraße;26;90604;Nürnberg;520.000,00;213;630;6,5;haus;1956;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;4,76% inkl. MwSt.;E;144;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-4616;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Dorfallee;31;18371;Rostock;520.000,00;133;;2;wohnung;1955;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Provisionsfrei;G;218;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-3993;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Bismarckdamm;69;50404;Köln;390.000,00;87;;2,5;wohnung;1992;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Provisionsfrei;C;89;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-2580;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Buchenplatz;89;65713;Wiesbaden;420.000,00;122;1010;6,5;haus;1906;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;Provisionsfrei;B;74;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-4383;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verfuegbar
Wiesenstraße;9;76946;Karlsruhe;600.000,00;132;;4;wohnung;1997;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;Provisionsfrei;D;117;Jürgen Becker;+49 89 88623195;juergen.becker@immobilien-zentrale.de;IS-2024-7158;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Teichring;16;40693;Düsseldorf;410.000,00;;1410;;grundstueck;;Hanggrundstück mit Fernblick, ideal für Architektenhaus.;4,76% inkl. MwSt.;;;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-8772;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Rheinweg;109c;30863;Hannover;110.000,00;58;;1;wohnung;2003;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;5,95% inkl. MwSt.;D;109;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-9429;;verfuegbar
Buchenring;90;52544;Aachen;340.000,00;95;;4,5;wohnung;1978;Charmante Maisonette-Wohnung über zwei Etagen mit Kamin.;Provisionsfrei;D;114;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-7626;;verfuegbar
Alsterallee;47;23163;Lübeck;200.000,00;31;;1;wohnung;2000;Helle 1-Zimmer-Wohnung mit Balkon in ruhiger Lage.;Provisionsfrei;A;46;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-8061;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verkauft
Eichenallee;68a;79875;Freiburg;450.000,00;;460;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;Provisionsfrei;;;Heike Bauer;+49 611 77266532;heike.bauer@immobilien-agentur.de;IS-2024-3205;;verfuegbar
Parksteig;109;80743;München;125.000,00;136;;3,5;wohnung;1957;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;2,38% inkl. MwSt.;B;73;Petra Krause;+49 89 53885162;petra.krause@immobilien-service.de;IS-2024-1612;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Bismarcksteig;43;01237;Dresden;2.980.000,00;720;1560;;gewerbe;1970;Atelier- und Showroom-Fläche in sanierter Industriehalle.;4,76% inkl. MwSt.;D;116;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-6299;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Schlossgasse;16;93674;Regensburg;280.000,00;;380;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;2,38% inkl. MwSt.;;;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-2141;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Buchenpfad;20;52962;Aachen;1.445.000,00;200;700;;gewerbe;1975;Werkstatt mit Hebebühne, Sozialräumen und separatem Büro.;2,38% inkl. MwSt.;D;106;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-2552;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Parkpfad;98;68588;Mannheim;365.000,00;89;;4;wohnung;1960;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;5,95% inkl. MwSt.;A;38;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-8346;;verkauft
Mühlenweg;11;48402;Münster;535.000,00;147;;4,5;wohnung;1996;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;5,95% inkl. MwSt.;C;86;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-5715;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
